Timestamp(ms),Current(uA)
42118.34,384.816
42118.35,382.129
42118.36,381.682
42118.37,382.577
42118.38,382.129
42118.39,379.443
42118.4,374.967
42118.41,374.520
42118.42,370.940
42118.43,367.361
42118.44,368.256
42118.45,371.835
42118.46,373.625
42118.47,371.387
42118.48,369.150
42118.49,369.150
42118.5,368.256
42118.51,368.703
42118.52,370.045
42118.53,369.150
42118.54,369.598
42118.55,366.914
42118.56,364.678
42118.57,361.548
42118.58,361.995
42118.59,361.548
42118.6,362.889
42118.61,363.784
42118.62,366.467
42118.63,368.703
42118.64,369.598
42118.65,372.282
42118.66,370.045
42118.67,370.045
42118.68,369.150
42118.69,369.598
42118.7,373.625
42118.71,372.282
42118.72,370.493
42118.73,373.177
42118.74,376.757
42118.75,377.652
42118.76,374.520
42118.77,371.835
42118.78,370.940
42118.79,373.177
42118.8,373.625
42118.81,372.282
42118.82,374.072
42118.83,375.862
42118.84,377.205
42118.85,377.652
42118.86,375.862
42118.87,373.177
42118.88,371.835
42118.89,372.282
42118.9,373.625
42118.91,374.072
42118.92,371.835
42118.93,372.282
42118.94,372.282
42118.95,371.835
42118.96,375.415
42118.97,373.177
42118.98,373.177
42118.99,374.520
42119,372.282
42119.01,370.940
42119.02,371.835
42119.03,371.387
42119.04,372.730
42119.05,372.282
42119.06,374.072
42119.07,374.967
42119.08,377.652
42119.09,382.129
42119.1,383.473
42119.11,381.234
42119.12,381.682
42119.13,385.712
42119.14,388.847
42119.15,390.191
42119.16,391.536
42119.17,391.536
42119.18,391.984
42119.19,393.776
42119.2,399.603
42119.21,400.500
42119.22,402.742
42119.23,403.191
42119.24,400.948
42119.25,402.742
42119.26,404.536
42119.27,404.087
42119.28,403.639
42119.29,404.984
42119.3,405.433
42119.31,401.845
42119.32,400.948
42119.33,400.052
42119.34,398.258
42119.35,399.603
42119.36,399.603
42119.37,400.948
42119.38,400.948
42119.39,401.397
42119.4,397.362
42119.41,398.258
42119.42,398.707
42119.43,398.707
42119.44,395.121
42119.45,392.432
42119.46,389.295
42119.47,387.056
42119.48,384.816
42119.49,384.368
42119.5,381.234
42119.51,382.577
42119.52,379.443
42119.53,379.443
42119.54,378.995
42119.55,379.443
42119.56,382.577
42119.57,383.473
42119.58,381.682
42119.59,383.473
42119.6,383.025
42119.61,381.682
42119.62,382.577
42119.63,381.234
42119.64,381.682
42119.65,382.577
42119.66,382.577
42119.67,381.682
42119.68,381.234
42119.69,382.129
42119.7,384.816
42119.71,387.504
42119.72,387.504
42119.73,389.743
42119.74,390.639
42119.75,387.504
42119.76,386.160
42119.77,388.847
42119.78,390.191
42119.79,390.191
42119.8,394.224
42119.81,394.672
42119.82,396.017
42119.83,393.776
42119.84,391.087
42119.85,389.743
42119.86,387.056
42119.87,387.504
42119.88,385.712
42119.89,384.816
42119.9,386.160
42119.91,383.920
42119.92,381.234
42119.93,378.100
42119.94,377.205
42119.95,374.520
42119.96,376.310
42119.97,374.072
42119.98,373.625
42119.99,374.520
42120,372.282
42120.01,370.940
42120.02,371.835
42120.03,372.282
42120.04,370.493
42120.05,369.150
42120.06,366.467
42120.07,366.020
42120.08,364.231
42120.09,362.442
42120.1,360.207
42120.11,357.078
42120.12,358.866
42120.13,356.631
42120.14,356.631
42120.15,355.290
42120.16,357.078
42120.17,359.313
42120.18,357.078
42120.19,357.525
42120.2,357.525
42120.21,358.419
42120.22,359.760
42120.23,358.866
42120.24,356.631
42120.25,357.525
42120.26,360.207
42120.27,359.760
42120.28,359.760
42120.29,357.525
42120.3,356.631
42120.31,357.078
42120.32,357.078
42120.33,359.313
42120.34,358.866
42120.35,359.760
42120.36,361.548
42120.37,365.572
42120.38,372.730
42120.39,371.387
42120.4,373.177
42120.41,377.652
42120.42,379.891
42120.43,379.443
42120.44,383.920
42120.45,384.816
42120.46,386.160
42120.47,389.743
42120.48,391.087
42120.49,394.672
42120.5,396.017
42120.51,396.465
42120.52,395.569
42120.53,397.810
42120.54,399.155
42120.55,401.397
42120.56,401.845
42120.57,403.639
42120.58,403.191
42120.59,400.052
42120.6,400.052
42120.61,399.155
42120.62,399.155
42120.63,399.155
42120.64,399.603
42120.65,397.362
42120.66,398.258
42120.67,396.465
42120.68,396.465
42120.69,395.121
42120.7,393.776
42120.71,391.984
42120.72,390.639
42120.73,387.504
42120.74,387.951
42120.75,385.712
42120.76,385.712
42120.77,384.368
42120.78,385.264
42120.79,384.816
42120.8,383.025
42120.81,383.473
42120.82,385.264
42120.83,385.712
42120.84,386.608
42120.85,388.399
42120.86,390.191
42120.87,390.639
42120.88,389.295
42120.89,387.056
42120.9,384.368
42120.91,383.025
42120.92,380.338
42120.93,380.338
42120.94,382.129
42120.95,384.816
42120.96,384.816
42120.97,387.056
42120.98,388.847
42120.99,392.432
42121,389.295
42121.01,387.056
42121.02,383.473
42121.03,384.816
42121.04,382.129
42121.05,382.129
42121.06,381.234
42121.07,379.443
42121.08,378.100
42121.09,378.100
42121.1,375.862
42121.11,378.995
42121.12,379.443
42121.13,379.891
42121.14,377.652
42121.15,377.205
42121.16,376.310
42121.17,376.310
42121.18,373.177
42121.19,375.415
42121.2,374.967
42121.21,374.967
42121.22,376.310
42121.23,374.520
42121.24,370.940
42121.25,368.256
42121.26,366.467
42121.27,369.598
42121.28,370.493
42121.29,372.282
42121.3,371.835
42121.31,371.835
42121.32,372.730
42121.33,373.177
42121.34,373.625
42121.35,369.598
42121.36,369.598
42121.37,374.072
42121.38,373.625
42121.39,376.310
42121.4,379.891
42121.41,383.473
42121.42,385.712
42121.43,385.712
42121.44,383.920
42121.45,383.025
42121.46,383.920
42121.47,381.234
42121.48,380.338
42121.49,378.995
42121.5,377.652
42121.51,377.205
42121.52,375.862
42121.53,374.072
42121.54,372.282
42121.55,369.150
42121.56,367.809
42121.57,364.678
42121.58,362.889
42121.59,361.995
42121.6,361.995
42121.61,361.101
42121.62,367.361
42121.63,367.361
42121.64,367.809
42121.65,365.125
42121.66,363.784
42121.67,362.442
42121.68,362.889
42121.69,363.784
42121.7,366.467
42121.71,366.467
42121.72,367.361
42121.73,367.809
42121.74,367.361
42121.75,369.150
42121.76,370.045
42121.77,369.598
42121.78,370.045
42121.79,368.256
42121.8,371.387
42121.81,373.177
42121.82,375.862
42121.83,376.757
42121.84,375.415
42121.85,377.652
42121.86,376.310
42121.87,376.310
42121.88,375.862
42121.89,375.862
42121.9,382.577
42121.91,385.712
42121.92,386.160
42121.93,386.608
42121.94,388.399
42121.95,388.847
42121.96,387.951
42121.97,389.743
42121.98,389.743
42121.99,388.847
42122,387.951
42122.01,389.295
42122.02,388.399
42122.03,389.743
42122.04,393.328
42122.05,390.639
42122.06,391.087
42122.07,390.191
42122.08,391.984
42122.09,394.224
42122.1,393.776
42122.11,395.569
42122.12,394.224
42122.13,396.017
42122.14,396.914
42122.15,396.017
42122.16,394.672
42122.17,392.880
42122.18,396.914
42122.19,397.810
42122.2,399.603
42122.21,398.707
42122.22,395.569
